sku,post_title,total_sales,average_rating,product_id,price,stock_quantity,stock_status,z_score,categorie
15783,Domaine de l'Hortus Val de Montferrand La Grande Cuvée Blanc 2018,0.0,0.0,4180.0,24.0,47.0,instock,-0.3053929143237587,ordinaire
16186,Alphonse Mellot Sancerre Blanc La Moussière 2018,7.0,0.0,4615.0,24.0,10.0,instock,-0.3053929143237587,ordinaire
12496,Chili De Martino Viejas Tinajas Cinsault 2013,0.0,0.0,5397.0,24.0,6.0,instock,-0.3053929143237587,ordinaire
11277,Château Monbrison Margaux Bouquet de Monbrison 2012,0.0,0.0,5801.0,24.0,62.0,instock,-0.3053929143237587,ordinaire
14429,Château Tour De Pez Saint-Estèphe 2017,0.0,0.0,5810.0,24.0,95.0,instock,-0.3053929143237587,ordinaire
15399,Château Peymartin Saint-Julien 2014,0.0,0.0,5802.0,23.8,22.0,instock,-0.3125844362586596,ordinaire
14756,Château Cordet Margaux 2013,4.0,0.0,4975.0,23.7,15.0,instock,-0.3161801972261101,ordinaire
14809,La Rectorie Banyuls Léon Parcé 2016,5.0,0.0,5443.0,23.6,2.0,instock,-0.3197759581935605,ordinaire
16096,Planeta Sicilia Eruzione 1614 2017,0.0,0.0,6221.0,23.5,3.0,instock,-0.32337171916101104,ordinaire
15444,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,7.0,0.0,4070.0,23.4,98.0,instock,-0.32696748012846155,ordinaire
15658,Domaine Schoenheitz Pinot Noir Herrenreben 2017,6.0,0.0,4717.0,23.4,0.0,outofstock,-0.32696748012846155,ordinaire
16010,François Baur Riesling Grand Cru Brand Clos De La Treille 2017,0.0,0.0,4725.0,23.4,1.0,instock,-0.32696748012846155,ordinaire
16014,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",0.0,0.0,4084.0,23.2,14.0,instock,-0.33415900206336246,ordinaire
16501,Domaine de La Tour Du Bon Bandol Rouge 2018,1.0,0.0,4298.0,23.2,36.0,instock,-0.33415900206336246,ordinaire
16277,Cave de Castelmaure Corbières Rouge N°3 2017,12.0,0.0,4925.0,23.2,0.0,outofstock,-0.33415900206336246,ordinaire
15339,Zind-Humbrecht Pinot Gris Roche Calcaire 2017,0.0,0.0,4130.0,23.0,0.0,outofstock,-0.3413505239982634,ordinaire
